RU;17;1722;TransparentCalls;0.88;804;38;54
US;1;81;E-Voice;0.96;14;83;12
GB;58;508;TransparentCalls;0.88;414;68;53
FR;56;1580;TransparentCalls;0.81;83;76;34
BL;77;1367;E-Voice;0.71;138;53;40
AT;50;263;TransparentCalls;0.77;168;5;11
BG;21;1223;E-Voice;1.00;672;46;37
DK;56;864;JustPhone;0.72;97;33;30
CA;63;1402;JustPhone;0.94;389;76;51
ES;31;1123;E-Voice;0.65;362;62;6
CH;25;1272;JustPhone;0.81;785;68;31
TR;92;1694;TransparentCalls;0.69;733;43;28
PE;82;1066;JustPhone;0.76;536;80;37
NZ;5;820;JustPhone;0.88;499;86;39
MC;93;1522;E-Voice;0.73;609;45;54
